Queuing Time	Time/Label
4.55197	267926.61035
0	268029.42722
7.86536	268029.42722
0	268135.64621
11.25751	268135.64621
0	268224.80671
2.22746	268224.80671
0	268327.83653
5.09548	268327.83653
0	268428.60841
3.12114	268428.60841
0	268531.16377
1.32674	268531.16377
0	268627.53301
7.76074	268627.53301
0	268739.50825
14.62014	268739.50825
0	268828.71849
2.54942	268828.71849
0	268933.1413
7.25023	268933.1413
0	269030.72705
1.4164	269030.72705
0	269127.63662
7.66854	269127.63662
0	269235.07644
7.62227	269235.07644
0	269329.63761
3.82356	269329.63761
0	269433.10319
1.68442	269433.10319
0	269544.81135
21.94226	269544.81135
0	269634.11149
16.996	269634.11149
0	269731.87609
4.12316	269731.87609
0	269830.89566
9.41801	269830.89566
0	269938.3534
14.95361	269938.3534
0	270034.48135
9.24038	270034.48135
0	270130.06845
12.88047	270130.06845
0	270230.19089
3.67089	270230.19089
0	270335.72425
8.11329	270335.72425
0	270426.18023
9.02393	270426.18023
0	270532.47472
9.33083	270532.47472
0	270629.23189
4.95925	270629.23189
0	270732.25385
5.86893	270732.25385
0	270830.16459
9.70961	270830.16459
0	270932.52721
11.78894	270932.52721
0	271030.87093
1.71032	271030.87093
0	271125.99931
5.16269	271125.99931
0	271232.66305
7.49056	271232.66305
0	271329.5596
6.1939	271329.5596
0	271429.89282
9.27855	271429.89282
0	271531.22486
11.15245	271531.22486
0	271634.72686
10.50844	271634.72686
0	271737.52893
8.23426	271737.52893
0	271834.63515
9.90152	271834.63515
0	271926.33857
3.17094	271926.33857
0	272031.25048
12.08655	272031.25048
0	272127.85972
4.13402	272127.85972
0	272227.44371
3.07228	272227.44371
0	272336.82725
10.14922	272336.82725
0	272440.25985
13.11521	272440.25985
0	272529.13587
3.15249	272529.13587
0	272634.10965
10.05901	272634.10965
0	272730.36881
5.72081	272730.36881
0	272839.82648
15.73603	272839.82648
0	272937.99272
11.53592	272937.99272
0	273030.80365
6.37001	273030.80365
0	273134.5273
10.58774	273134.5273
0	273220.69706
1.27106	273220.69706
0	273324.94249
2.0525	273324.94249
0	273430.49613
6.98669	273430.49613
0	273532.48844
9.55067	273532.48844
0	273627.09514
2.23959	273627.09514
0	273726.34135
3.3016	273726.34135
0	273823.43379
4.01095	273823.43379
0	273923.69127
3.67208	273923.69127
0	274043.58366
14.73193	274043.58366
0	274129.2094
7.74096	274129.2094
0	274240.1692
14.60136	274240.1692
0	274328.81866
5.88701	274328.81866
0	274424.04764
2.50089	274424.04764
0	274534.59974
8.7599	274534.59974
0	274632.02883
0.22855	274632.02883
0	274727.79747
4.4719	274727.79747
0	274825.01971
0.58687	274825.01971
0	274925.81765
3.08478	274925.81765
0	275024.59342
5.472	275024.59342
0	275128.9351
6.73455	275128.9351
0	275238.65287
12.90214	275238.65287
0	275338.11853
16.25342	275338.11853
0	275432.14838
13.27856	275432.14838
0	275534.08769
8.09555	275534.08769
0	275629.24916
5.29564	275629.24916
0	275731.08041
5.88957	275731.08041
0	275826.8727
5.43788	275826.8727
0	275929.35094
0.89521	275929.35094
0	276038.36205
7.33185	276038.36205
0	276131.62031
8.87446	276131.62031
0	276228.85567
8.11349	276228.85567
0	276338.98438
13.00712	276338.98438
0	276433.35546
8.60608	276433.35546
0	276529.52652
1.4722	276529.52652
0	276636.1188
12.0265	276636.1188
0	276727.69889
4.47626	276727.69889
0	276826.74814
3.99321	276826.74814
0	276925.77998
3.06004	276925.77998
0	277034.24536
13.09213	277034.24536
0	277133.79034
4.6942	277133.79034
0	277231.1778
7.88513	277231.1778
0	277331.86467
8.72379	277331.86467
0	277437.95331
9.015	277437.95331
0	277526.45681
8.47945	277526.45681
0	277634.05458
5.26265	277634.05458
0	277738.40682
13.3574	277738.40682
0	277836.96096
10.8265	277836.96096
0	277933.56418
7.73134	277933.56418
0	278033.97442
5.88952	278033.97442
0	278126.29203
2.52036	278126.29203
0	278234.13215
4.31065	278234.13215
0	278330.25348
9.26166	278330.25348
0	278434.91167
10.50334	278434.91167
0	278529.30683
0.93527	278529.30683
0	278640.03067
15.60939	278640.03067
0	278733.58037
6.85227	278733.58037
0	278835.89081
13.40748	278835.89081
0	278934.89378
11.38157	278934.89378
0	279027.01531
4.59919	279027.01531
0	279129.91626
6.93146	279129.91626
0	279229.24539
5.67098	279229.24539
0	279333.38642
10.69428	279333.38642
0	279427.01662
2.82122	279427.01662
0	279537.05324
9.19873	279537.05324
0	279628.88657
4.83931	279628.88657
0	279728.70959
4.5175	279728.70959
0	279834.0183
9.51553	279834.0183
0	279931.98269
10.08293	279931.98269
0	280025.89254
7.43965	280025.89254
0	280136.01656
6.0525	280136.01656
0	280230.96974
6.1358	280230.96974
0	280329.9856
4.77991	280329.9856
0	280437.40614
16.85957	280437.40614
0	280533.45282
11.75603	280533.45282
0	280635.77954
12.10201	280635.77954
0	280734.76546
7.34244	280734.76546
0	280826.90204
3.66735	280826.90204
0	280937.56119
12.09253	280937.56119
0	281025.64758
3.74414	281025.64758
0	281131.812
4.27396	281131.812
0	281227.9917
8.17811	281227.9917
0	281326.77499
5.92201	281326.77499
0	281435.22886
11.76328	281435.22886
0	281534.20709
12.95584	281534.20709
0	281632.41453
9.54464	281632.41453
0	281735.98469
7.42731	281735.98469
0	281828.87804
9.89277	281828.87804
0	281933.48426
9.01106	281933.48426
0	282037.32895
10.69379	282037.32895
0	282130.82904
11.05998	282130.82904
0	282234.00625
10.20864	282234.00625
0	282333.28234
4.92944	282333.28234
0	282428.24136
1.57842	282428.24136
0	282535.26898
11.83946	282535.26898
0	282638.23509
12.17133	282638.23509
0	282728.20066
9.49087	282728.20066
0	282834.36421
7.40343	282834.36421
0	282932.72074
8.15875	282932.72074
0	283033.93122
7.36787	283033.93122
0	283135.05797
7.98167	283135.05797
0	283226.98409
3.74847	283226.98409
0	283329.43984
9.29774	283329.43984
0	283433.86366
11.88997	283433.86366
0	283542.44783
22.47773	283542.44783
0	283634.34322
14.3339	283634.34322
0	283736.17365
15.7102	283736.17365
0	283832.25492
5.67594	283832.25492
0	283931.32834
12.26624	283931.32834
0	284028.13675
3.97461	284028.13675
0	284135.30432
9.13327	284135.30432
0	284238.2684
13.72217	284238.2684
0	284331.61805
1.38259	284331.61805
0	284427.66979
1.09668	284427.66979
0	284536.70612
7.69642	284536.70612
0	284642.47048
16.15618	284642.47048
0	284729.94379
3.94617	284729.94379
0	284829.26522
6.60355	284829.26522
0	284945.62906
16.54839	284945.62906
0	285030.11149
9.35019	285030.11149
0	285131.61877
5.51209	285131.61877
0	285229.97954
7.53742	285229.97954
0	285328.45758
3.07037	285328.45758
0	285435.99674
10.34598	285435.99674
0	285530.25442
4.48329	285530.25442
0	285636.09574
10.06652	285636.09574
0	285736.00125
14.20942	285736.00125
0	285833.9623
13.82961	285833.9623
0	285937.80487
13.92309	285937.80487
0	286040.58919
13.97291	286040.58919
0	286133.50829
7.16631	286133.50829
0	286233.59266
7.53052	286233.59266
0	286331.50294
2.24729	286331.50294
0	286432.18666
11.52319	286432.18666
0	286537.51895
11.38642	286537.51895
0	286633.42263
4.6012	286633.42263
0	286728.00049
3.98223	286728.00049
0	286836.87214
8.67865	286836.87214
0	286929.51655
12.23422	286929.51655
0	287037.42875
15.55122	287037.42875
0	287133.2607
8.66493	287133.2607
0	287229.08992
5.87112	287229.08992
0	287335.96401
7.65504	287335.96401
0	287439.42964
15.12263	287439.42964
0	287533.02909
6.86357	287533.02909
0	287630.93787
3.58282	287630.93787
0	287735.94659
11.50874	287735.94659
0	287823.21406
0.02784	287823.21406
0	287935.31597
6.94205	287935.31597
0	288020.85067
0.82589	288020.85067
0	288141.68592
15.7617	288141.68592
0	288231.0768
2.10016	288231.0768
0	288332.30164
11.91001	288332.30164
0	288432.06071
10.44072	288432.06071
0	288532.34436
2.58282	288532.34436
