Time in simulation	Time/Label
35.30006	93635.30006
48.32657	93748.32657
27.95949	93827.95949
23.52105	93923.52105
37.84329	94037.84329
30.34258	94130.34258
31.4595	94231.4595
30.67908	94330.67908
38.76984	94438.76984
28.69771	94528.69771
33.4057	94633.4057
40.32025	94740.32025
34.12018	94834.12018
30.48017	94930.48017
34.60439	95034.60439
36.21315	95136.21315
29.77409	95229.77409
38.12483	95338.12483
28.50229	95428.50229
39.72312	95539.72312
35.65958	95635.65958
31.19698	95731.19698
23.81748	95823.81748
31.5052	95931.5052
28.26564	96028.26564
34.36008	96134.36008
40.89627	96240.89627
36.20922	96336.20922
29.44107	96429.44107
32.67013	96532.67013
33.62447	96633.62447
31.91703	96731.91703
30.59932	96830.59932
37.88343	96937.88343
38.55815	97038.55815
36.36401	97136.36401
32.88507	97232.88507
20.50435	97320.50435
31.12377	97431.12377
28.56325	97528.56325
27.91397	97627.91397
41.58239	97741.58239
34.77645	97834.77645
25.06988	97925.06988
39.26442	98039.26442
30.21791	98130.21791
39.78326	98239.78326
31.51816	98331.51816
30.15667	98430.15667
37.68101	98537.68101
30.59999	98630.59999
26.96763	98726.96763
27.52886	98827.52886
33.3249	98933.3249
31.34586	99031.34586
32.8768	99132.8768
21.9732	99221.9732
42.71227	99342.71227
33.78407	99433.78407
39.72038	99539.72038
36.92951	99636.92951
32.24913	99732.24913
31.93033	99831.93033
40.22519	99940.22519
34.98687	100034.98687
39.93634	100139.93634
30.22572	100230.22572
40.84591	100340.84591
37.64257	100437.64257
38.7293	100538.7293
23.12185	100623.12185
27.27812	100727.27812
21.57184	100821.57184
30.36072	100930.36072
29.96247	101029.96247
31.50181	101131.50181
27.30756	101227.30756
30.86217	101330.86217
37.6701	101437.6701
38.43325	101538.43325
28.95988	101628.95988
34.33208	101734.33208
28.45131	101828.45131
30.5419	101930.5419
26.23958	102026.23958
25.92118	102125.92118
34.8486	102234.8486
37.86712	102337.86712
31.77349	102431.77349
29.91575	102529.91575
36.64176	102636.64176
30.43278	102730.43278
28.92002	102828.92002
31.90874	102931.90874
35.29352	103035.29352
35.92631	103135.92631
32.03221	103232.03221
34.14083	103334.14083
30.37517	103430.37517
34.24066	103534.24066
37.01326	103637.01326
35.74434	103735.74434
29.39879	103829.39879
27.05227	103927.05227
24.44322	104024.44322
41.89249	104141.89249
35.24802	104235.24802
25.77091	104325.77091
30.47643	104430.47643
24.34421	104524.34421
37.47557	104637.47557
31.71223	104731.71223
36.24965	104836.24965
37.67328	104937.67328
33.65522	105033.65522
32.29813	105132.29813
42.17491	105242.17491
35.63728	105335.63728
30.59596	105430.59596
26.98741	105526.98741
31.38936	105631.38936
42.07509	105742.07509
22.6461	105822.6461
32.94827	105932.94827
36.37899	106036.37899
28.50654	106128.50654
25.2577	106225.2577
28.62558	106328.62558
25.38027	106425.38027
